"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","Match_Count","Line Number","Text"
"1.4.1.1","","","","","","3","will learn how to annotate and otherwise manage your bookmarks)."
"1.4.2","4b","0201","CE","Wed 18 Oct 1995 02:15:58 GMT+00:00","1","",""
"1.4.2","","","","","","1","=> Browsing Exercise Instructions:"
"1.4.2.1","4b1","0202","CE","Fri 17 Apr 1998 06:49:26 GMT+00:00","5","",""
"1.4.2.1","","","","","","1","1)  First, note where you are now so you can find your way"
"1.4.2.1","","","","","","2","back.2)  You will browse the AUGMENT locator section titled"
"1.4.2.1","","","","","","3","DOCUMENTATION     using the ZOOM buttons3)  Return here when"
"1.4.2.1","","","","","","4","finished,using the Home button.4)  Now click on this link to get"
"1.4.2.1","","","","","","5","started <USERGUIDES,LOCATOR,:xy>."
"1.5","5","0165","CE","Tue 17 Oct 1995 07:52:55 GMT+00:00","1","",""
"1.5","","","","","","1","&quot;LIVING&quot; KNOWLEDGE REPOSITORIES"
"1.5.1","5a","0166","CE","Wed 24 Apr 1996 04:58:20 GMT+00:00","11","",""
"1.5.1","","","","","","1","The browser you are using is part of a suite of tools designed"
"1.5.1","","","","","","2","specifically to boost &quot;Collective IQ&quot; of teams,"
"1.5.1","","","","","","3","organizations, and communities.  &quot;Collective IQ&quot; is a"
"1.5.1","","","","","","4","measure of how quickly and intelligently people can work"
"1.5.1","","","","","","5","collectively toward common goals. This goes well beyond getting"
"1.5.1","","","","","","6","more information faster, to include leveraging their collective"
"1.5.1","","","","","","7","memory, perception, foresight, planning, problem-solving, and so"
"1.5.1","","","","","","8","on, into applicable knowledge.  This knowledge goes well beyond"
"1.5.1","","","","","","9","the published documents, to include successive drafts,"
"1.5.1","","","","","","10","commentary, dialog records, rationale, intelligence collections,"
"1.5.1","","","","","","11","and so forth."
"1.5.2","5b","0262","CE","Wed 24 Apr 1996 04:58:24 GMT+00:00","1","",""
"1.5.2","","","","","","1","This system was designed to facilitate"
"1.5.2.1","5b1","0264","CE","Wed 24 Apr 1996 00:12:05 GMT+00:00","1","",""
"1.5.2.1","","","","","","1","* the collaborative process"
"1.5.2.2","5b2","0263","CE","Fri 17 Apr 1998 06:50:17 GMT+00:00","2","",""
"1.5.2.2","","","","","","1","* the unified development, capture, integration, management,"
"1.5.2.2","","","","","","2","cross-referencing, and tracking of heterogeneous knowledge"
"1.5.2.3","5b3","0266","CE","Wed 24 Apr 1996 04:58:50 GMT+00:00","1","",""
"1.5.2.3","","","","","","1","* value-added utilization of this knowledge"
"1.5.3","5c","0265","CE","Wed 24 Apr 1996 00:10:36 GMT+00:00","4","",""
"1.5.3","","","","","","1","So instead of an archive of publications, a &quot;living&quot;"
"1.5.3","","","","","","2","knowledge repository should be a dynamic work environment, and a"
"1.5.3","","","","","","3","vehicle for collaboration across time, space, and organizational"
"1.5.3","","","","","","4","boundaries."
"1.5.4","5d","0167","CE","Wed 18 Oct 1995 05:32:07 GMT+00:00","7","",""
"1.5.4","","","","","","1","Following are some examples of living repositories for you to"
"1.5.4","","","","","","2","browse. Each link will start you off with an outline view of a"
"1.5.4","","","","","","3","Locator file.  Again, feel free to request Bookmarks, and to"
"1.5.4","","","","","","4","follow any links that you find.  For example, you may come"
"1.5.4","","","","","","5","across a status report containing references to bug fixes, which"
"1.5.4","","","","","","6","may in turn reference the corresponding source code, which in"
"1.5.4","","","","","","7","turn references the design documents."
"1.5.4.1","5d1","0174","CE","Tue 23 Apr 1996 07:37:13 GMT+00:00","1","",""
"1.5.4.1","","","","","","1","Software R&D Project::    <HYPERION,OVERVIEW,:xzhmGLj>"
"1.5.4.2","5d2","0175","CE","Wed 13 Sep 1995 05:44:15 GMT+00:00","1","",""
"1.5.4.2","","","","","","1","Aerospace Program::     <NASP,LOCATOR,:xzhmGLj>"
"1.6","6","0203","CE","Wed 18 Oct 1995 00:04:30 GMT+00:00","1","",""
"1.6","","","","","","1","GRADUATING TO CLASS 2"
"1.6.1","6a","0152","CE","Wed 24 Apr 1996 05:04:01 GMT+00:00","2","",""
"1.6.1","","","","","","1","The enhanced &quot;User Class 2&quot; Browser adds Augment menu"
"1.6.1","","","","","","2","and buttons for:"
"1.6.1.1","6a1","0224","CE","Wed 24 Apr 1996 05:04:44 GMT+00:00","5","",""
"1.6.1.1","","","","","","1","* jumping by number* full view control, with filtering* shared"
"1.6.1.1","","","","","","2","screen teleconferencing* creating links that you can edit,"
"1.6.1.1","","","","","","3","annotate, email, etc.* term/name lookup in glossary, roster,"
"1.6.1.1","","","","","","4","etc.* supporting organizational roles* providing password"
"1.6.1.1","","","","","","5","protection based on user login"
"1.6.2","6b","0237","CE","Fri 17 Apr 1998 06:51:29 GMT+00:00","3","",""
"1.6.2","","","","","","1","These select features add a tremendous amount of power and"
"1.6.2","","","","","","2","utility to a dynamic knowledge environment, as well as to the"
"1.6.2","","","","","","3","collaborative process."
"1.6.3","6c","0226","CE","Tue 23 Apr 1996 07:47:06 GMT+00:00","1","",""
"1.6.3","","","","","","1","=> Instructions - Graduating to Class 2"
"1.6.3.1","6c1","0227","CE","Tue 23 Apr 1996 07:47:44 GMT+00:00","2","",""
"1.6.3.1","","","","","","1","1)  pull down the Options menu and select &quot;Morphe window"
"1.6.3.1","","","","","","2","into class&quot; and &quot;2&quot;."
"1.6.4","6d","0228","CE","Wed 24 Apr 1996 05:05:45 GMT+00:00","3","",""
"1.6.4","","","","","","1","You should now have an Augment menu in the menubar, and"
"1.6.4","","","","","","2","associated Augment buttons enabling the features outlined above."
"1.6.4","","","","","","3","Let's begin with changing viewspecs."
"1.7","7","060","THOM","Thu 27 Sep 1979 07:41:37 GMT+00:00","1","",""
"1.7","","","","","","1","CHANGING VIEWSPECS"
"1.7.1","7a","0229","CE","Wed 24 Apr 1996 05:08:09 GMT+00:00","3","",""
"1.7.1","","","","","","1","The Zoom Buttons changed your view with preset view settings,"
"1.7.1","","","","","","2","which we call &quot;viewspecs&quot;.  The Viewspecs button above"
"1.7.1","","","","","","3","allows you to select your own settings."
"1.7.2","7b","0230","CE","Wed 18 Oct 1995 06:24:09 GMT+00:00","1","",""
"1.7.2","","","","","","1","=> Viewspec Instructions"
"1.7.2.1","7b1","0231","CE","Tue 23 Apr 1996 07:49:32 GMT+00:00","2","",""
"1.7.2.1","","","","","","1","1)  Click on the Viewspecs button.2)  Click on &quot;Blank"
"1.7.2.1","","","","","","2","lines&quot; and &quot;Numbering&quot;3)  Click OK"
"1.7.3","7c","0232","CE","Wed 24 Apr 1996 05:08:38 GMT+00:00","2","",""
"1.7.3","","","","","","1","Notice how your view has changed. Blank lines and numbering are"
"1.7.3","","","","","","2","gone."
"1.7.4","7d","0259","CE","Tue 23 Apr 1996 07:51:30 GMT+00:00","1","",""
"1.7.4","","","","","","1","=> More Viewspec Instructions"
"1.7.4.1","7d1","0260","CE","Wed 24 Apr 1996 05:09:08 GMT+00:00","5","",""
"1.7.4.1","","","","","","1","1)  Click on the Viewspecs button.2)  This time notice the one-"
"1.7.4.1","","","","","","2","letter codes next to each checkbox     &quot;y&quot; and"
"1.7.4.1","","","","","","3","&quot;z&quot; for Blank Lines ON and OFF     &quot;m&quot; and"
"1.7.4.1","","","","","","4","&quot;n&quot; for Numbering ON and OFF3)  Click on &quot;Blank"
"1.7.4.1","","","","","","5","lines&quot; and &quot;Numbering&quot;4)  Click OK"
"1.7.5","7e","0258","CE","Wed 24 Apr 1996 00:21:35 GMT+00:00","2","",""
"1.7.5","","","","","","1","You can use those one-letter viewspec codes as shortcuts."
"1.7.5","","","","","","2","Here's how:"
"1.7.6","7f","0256","CE","Wed 24 Apr 1996 00:18:34 GMT+00:00","1","",""
"1.7.6","","","","","","1","=> Viewspec Shortcut Instructions"
"1.7.6.1","7f1","0257","CE","Wed 24 Apr 1996 00:21:15 GMT+00:00","3","",""
"1.7.6.1","","","","","","1","1)  Click on the typein box next to the Viewspecs button. 2)"
"1.7.6.1","","","","","","2","Type the letters nz to turn Numbering and Blank Lines OFF3)"
"1.7.6.1","","","","","","3","Click on the Viewspecs button."
"1.7.7","7g","0234","CE","Wed 24 Apr 1996 05:09:48 GMT+00:00","1","",""
"1.7.7","","","","","","1","=> Please turn Numbering and Blank Lines ON before you continue."
"1.8","8","06","THOM","Thu 27 Sep 1979 05:37:49 GMT+00:00","1","",""
"1.8","","","","","","1","JUMPING"
"1.8.1","8a","0233","CE","Wed 24 Apr 1996 05:10:56 GMT+00:00","6","",""
"1.8.1","","","","","","1","You have already learned to &quot;jump&quot; to a particular"
"1.8.1","","","","","","2","heading or paragraph using the Zoom buttons. Now you can jump"
"1.8.1","","","","","","3","directly to any heading or paragraph by number using the Jump"
"1.8.1","","","","","","4","Item button.  For example, in the next exercise you will jump to"
"1.8.1","","","","","","5","the first section in this file (Item 1), then back here (Item"
"1.8.1","","","","","","6","8a)."
"1.8.2","8b","0235","CE","Wed 18 Oct 1995 06:50:53 GMT+00:00","2","",""
"1.8.2","","","","","","1","=> Jump Item Instructions  (review all the steps before you"
"1.8.2","","","","","","2","begin)"
"1.8.2.1","8b1","0236","CE","Thu 19 Oct 1995 04:54:34 GMT+00:00","4","",""
"1.8.2.1","","","","","","1","1)  Make a note to jump back here when finished (Item 8a).2)"
"1.8.2.1","","","","","","2","Click on the typein box next to the Jump Item button and type"
"1.8.2.1","","","","","","3","the number 1.3)  Press the Jump Item button.4)  Repeat the jump,"
"1.8.2.1","","","","","","4","this time entering 8a instead of 1."
"1.8.3","8c","0268","CE","Wed 24 Apr 1996 05:10:31 GMT+00:00","1","",""
"1.8.3","","","","","","1","Note that you can jump to any item in this file by its number."
"1.9","9","0114","CE","Sun 19 Mar 1995 00:48:28 GMT+00:00","1","",""
"1.9","","","","","","1","JUMPING WITH VIEWSPECS"
"1.9.1","9a","0241","CE","Wed 24 Apr 1996 05:11:45 GMT+00:00","4","",""
"1.9.1","","","","","","1","Now you will learn how to combine Jump Item and Viewspecs for"
"1.9.1","","","","","","2","&quot;on-the-fly&quot; view control.  If you click on the Jump"
"1.9.1","","","","","","3","Item button when its typein box is empty, a dialog box will pop"
"1.9.1","","","","","","4","up to prompt you for the item number and viewspecs."
"1.9.2","9b","0242","CE","Wed 18 Oct 1995 06:58:26 GMT+00:00","1","",""
"1.9.2","","","","","","1","=> Instructions  (review all the steps before you begin)"
"1.9.2.1","9b1","0243","CE","Wed 24 Apr 1996 00:24:37 GMT+00:00","8","",""
"1.9.2.1","","","","","","1","1)  Make a note to jump back here when finished (Item 9b).2)"
"1.9.2.1","","","","","","2","Click on the Jump Item button to get the Jump Item dialog.3)"
"1.9.2.1","","","","","","3","Type the number 3 into the Jump typein box.4)  Select viewspecs"
"1.9.2.1","","","","","","4","xbz  (choose one method)     * press the Viewspecs button and"
"1.9.2.1","","","","","","5","select them using the mouse, or     * type the codes directly"
"1.9.2.1","","","","","","6","into the Viewspecs typein box.5)  Click OK.6)  Repeat the jump"
"1.9.2.1","","","","","","7","to return here, this time entering 9b instead of 3, and"
"1.9.2.1","","","","","","8","viewspecs yw instead of zxb."
"1.9.2.2","9b2","0267","CE","Wed 24 Apr 1996 00:25:10 GMT+00:00","2","",""
"1.9.2.2","","","","","","1","Note: If you do not want to change the viewspecs, just omit step"
"1.9.2.2","","","","","","2","4."
"1.9.3","9c","0255","CE","Wed 24 Apr 1996 00:21:45 GMT+00:00","1","",""
"1.9.3","","","","","","1","You are now on your way to becoming a high-performance user."
"1.10","10","0209","CE","Wed 18 Oct 1995 02:06:53 GMT+00:00","1","",""
"1.10","","","","","","1","FILTERING INFORMATION"
"1.10.1","10a","0247","CE","Wed 24 Apr 1996 05:14:03 GMT+00:00","5","",""
"1.10.1","","","","","","1","You can get a filtered view of the file using the Filter button."
"1.10.1","","","","","","2","When you enter the text to be searched, and turn the filter ON,"
"1.10.1","","","","","","3","your view will contain only those items which contain that text."
"1.10.1","","","","","","4","When you turn the filter OFF, you will get your previous view"
"1.10.1","","","","","","5","back."
"1.10.2","10b","0269","CE","Wed 24 Apr 1996 05:13:48 GMT+00:00","2","",""
"1.10.2","","","","","","1","=> Filtering Instructions  (review all the steps before you"
"1.10.2","","","","","","2","begin)"
"1.10.2.1","10b1","0270","CE","Wed 24 Apr 1996 05:17:04 GMT+00:00","7","",""
"1.10.2.1","","","","","","1","1)  Make a note to jump back here when finished (Item 10b).2)"
"1.10.2.1","","","","","","2","Click on the Filter button.3)  Click on the &quot;Set"
"1.10.2.1","","","","","","3","filter:&quot; typein box and enter the word Instructions.4)"
"1.10.2.1","","","","","","4","Click on &quot;Start at top of file&quot;.5)  Click on"
"1.10.2.1","","","","","","5","&quot;Turn filter&quot; and &quot;On&quot;.6)  Click OK.  7)"
"1.10.2.1","","","","","","6","When finished, click on the Filter button and &quot;Turn"
"1.10.2.1","","","","","","7","filter&quot; &quot;Off&quot;"
"1.10.3","10c","0271","CE","Wed 24 Apr 1996 05:18:44 GMT+00:00","4","",""
"1.10.3","","","","","","1","Note that once a certain filter is set, you can turn it On or"
"1.10.3","","","","","","2","Off by entering viewspec i or j respectively using the Viewspecs"
"1.10.3","","","","","","3","button. This means you can also turn the filter On or Off on-"
"1.10.3","","","","","","4","the-fly using Jump Item button."
"1.11","11","0126","CE","Sun 19 Mar 1995 05:34:48 GMT+00:00","1","",""
"1.11","","","","","","1","PRECISION BROWSING"
"1.11.1","11a","0136","CE","Wed 24 Apr 1996 05:18:59 GMT+00:00","10","",""
"1.11.1","","","","","","1","You have just experienced the tip of the iceberg in the powerful"
"1.11.1","","","","","","2","combination of jumping, viewspecs, numbering, and outline"
"1.11.1","","","","","","3","structuring. You will learn more about these features later,"
"1.11.1","","","","","","4","along with Augment hyper-links and cross-window jumping and"
"1.11.1","","","","","","5","editing.  Together these form a foundation for a very powerful"
"1.11.1","","","","","","6","knowledge environment designed specifically to &quot;boost"
"1.11.1","","","","","","7","Collective IQ&quot; in your organization. This includes not only"
"1.11.1","","","","","","8","the highly efficient navigation through the knowledge space, but"
"1.11.1","","","","","","9","the development, integration, and application of that knowledge"
"1.11.1","","","","","","10","as well."
"1.12","12","0210","CE","Wed 18 Oct 1995 02:07:03 GMT+00:00","1","",""
"1.12","","","","","","1","CREATING LINKS & BOOKMARKS"
"1.12.1","12a","0246","CE","Wed 18 Oct 1995 07:01:12 GMT+00:00","1","",""
"1.12.1","","","","","","1","<a href=&quot;[TBD]&quot;>[TBD]</a>"
"1.13","13","0244","CE","Wed 18 Oct 1995 06:57:17 GMT+00:00","1","",""
"1.13","","","","","","1","JUMPING TO ANOTHER FILE"
"1.13.1","13a","0249","CE","Wed 18 Oct 1995 07:01:12 GMT+00:00","1","",""
"1.13.1","","","","","","1","<a href=&quot;[TBD]&quot;>[TBD]</a>"
"1.14","14","066","CE","Wed 18 Oct 1995 00:04:03 GMT+00:00","1","",""
"1.14","","","","","","1","REVIEW"
"1.14.1","14a","0248","CE","Wed 18 Oct 1995 07:01:12 GMT+00:00","1","",""
"1.14.1","","","","","","1","<a href=&quot;[TBD]&quot;>[TBD]</a>"
"1.15","15","073","CE","Wed 18 Oct 1995 00:04:11 GMT+00:00","1","",""
"1.15","","","","","","1","GRADUATING TO THE &quot;TURBO&quot; CLASS"
"1.15.1","15a","0250","CE","Wed 24 Apr 1996 00:23:04 GMT+00:00","3","",""
"1.15.1","","","","","","1","After you click on the following link you will select"
"1.15.1","","","","","","2","&quot;Morph window into&quot; and &quot;Turbo Class&quot; from"
"1.15.1","","","","","","3","the Options menu."
"1.15.1.1","15a1","0254","CE","Thu 13 Aug 1998 07:23:54 GMT+00:00","2","",""
"1.15.1.1","","","","","","1","<a href=&quot;&lt;TutorV, :whymGjL&gt;&quot;>&lt;TutorV,"
"1.15.1.1","","","","","","2",":whymGjL&gt;</a>"
