"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level","Match_Count","Line Number","Text"
"1.3.1.2","3a2","0163","CE","Tue 17 Oct 1995 07:31:33 GMT+00:00","4","1","",""
"1.3.1.2","","","","","","","1","ZOOM OUT:  The leftmost button zooms OUT to an outline view."
"1.3.1.3","3a3","0142","CE","Fri 17 Apr 1998 06:47:21 GMT+00:00","4","2","",""
"1.3.1.3","","","","","","","1","ZOOM IN:     The middle button zooms IN for a more detailed<BR/>"
"1.3.1.3","","","","","","","2","outline view."
"1.3.1.4","3a4","0195","CE","Tue 23 Apr 1996 07:28:44 GMT+00:00","4","3","",""
"1.3.1.4","","","","","","","1","Note that all three buttons will hoist, or &quot;Jump&quot; the"
"1.3.1.4","","","","","","","2","associated heading or paragraph to the top of the viewing"
"1.3.1.4","","","","","","","3","window."
"1.3.2","3b","0193","CE","Tue 23 Apr 1996 07:28:18 GMT+00:00","3","1","",""
"1.3.2","","","","","","","1","Now try it."
"1.3.2.1","3b1","083","CE","Wed 13 Sep 1995 04:32:22 GMT+00:00","4","1","",""
"1.3.2.1","","","","","","","1","=> Zooming Instructions:"
"1.3.2.1.1","3b1a","0196","CE","Fri 8 Sep 2006 01:40:48 GMT+00:00","5","4","",""
"1.3.2.1.1","","","","","","","1","1.  First, note where you are now so you can find your way"
"1.3.2.1.1","","","","","","","2","back.<BR/>2.  Click on the Zoom Buttons to explore this tutorial"
"1.3.2.1.1","","","","","","","3","file.<BR/>3.  Return to this ZOOMING section with a full view"
"1.3.2.1.1","","","","","","","4","when finished."
"1.3.3","3c","0333","CE","Tue 5 Sep 2006 05:21:41 GMT+00:00","3","3","",""
"1.3.3","","","","","","","1","Just for practice, instead of scrolling to the next section,"
"1.3.3","","","","","","","2","jump to KNOWLEDGE REPOSITORIES using its Zoom button for a full"
"1.3.3","","","","","","","3","open view."
"1.4","4","0199","CE","Tue 17 Oct 1995 07:52:52 GMT+00:00","2","1","",""
"1.4","","","","","","","1","KNOWLEDGE REPOSITORIES"
"1.4.1","4a","0200","CE","Tue 5 Sep 2006 02:33:50 GMT+00:00","3","10","",""
"1.4.1","","","","","","","1","A NOTE ABOUT REPOSITORIES: A knowledge repository is typically a"
"1.4.1","","","","","","","2","collection of knowledge, such as a web site, a wiki, a project"
"1.4.1","","","","","","","3","group's documents and memos, or a digital library.  For example,"
"1.4.1","","","","","","","4","the HyperScope repository is a growing library of documents"
"1.4.1","","","","","","","5","about HyperScope -- what it is and how it was implemented, plus"
"1.4.1","","","","","","","6","key articles describing the significant prior work that inspired"
"1.4.1","","","","","","","7","HyperScope, namely Doug Engelbart's AUGMENT System and its"
"1.4.1","","","","","","","8","precursor NLS. For more details you can browse the articles at h"
"1.4.1","","","","","","","9","ttp://blueoxen.net/c/hyperscope/wiki.pl?action=browse&amp;id=His"
"1.4.1","","","","","","","10","toricalReferences"
"1.5","5","0165","CE","Tue 17 Oct 1995 07:52:55 GMT+00:00","2","1","",""
"1.5","","","","","","","1","&quot;LIVING&quot; KNOWLEDGE REPOSITORIES"
"1.5.1","5a","0166","CE","Wed 24 Apr 1996 04:58:20 GMT+00:00","3","11","",""
"1.5.1","","","","","","","1","The browser you are using is part of a suite of tools designed"
"1.5.1","","","","","","","2","specifically to boost &quot;Collective IQ&quot; of teams,"
"1.5.1","","","","","","","3","organizations, and communities.  &quot;Collective IQ&quot; is a"
"1.5.1","","","","","","","4","measure of how quickly and intelligently people can work"
"1.5.1","","","","","","","5","collectively toward common goals. This goes well beyond getting"
"1.5.1","","","","","","","6","more information faster, to include leveraging their collective"
"1.5.1","","","","","","","7","memory, perception, foresight, planning, problem-solving, and so"
"1.5.1","","","","","","","8","on, into applicable knowledge.  This knowledge goes well beyond"
"1.5.1","","","","","","","9","the published documents, to include successive drafts,"
"1.5.1","","","","","","","10","commentary, dialog records, rationale, intelligence collections,"
"1.5.1","","","","","","","11","and so forth."
"1.5.2","5b","0262","CE","Fri 1 Sep 2006 07:02:34 GMT+00:00","3","1","",""
"1.5.2","","","","","","","1","This tool was designed to facilitate"
"1.5.2.1","5b1","0264","CE","Wed 24 Apr 1996 00:12:05 GMT+00:00","4","1","",""
"1.5.2.1","","","","","","","1","* the collaborative process"
"1.5.2.2","5b2","0263","CE","Fri 17 Apr 1998 06:50:17 GMT+00:00","4","3","",""
"1.5.2.2","","","","","","","1","* the unified development, capture, integration,"
"1.5.2.2","","","","","","","2","management,<BR/>   cross-referencing, and tracking of"
"1.5.2.2","","","","","","","3","heterogeneous knowledge"
"1.5.2.3","5b3","0266","CE","Wed 24 Apr 1996 04:58:50 GMT+00:00","4","1","",""
"1.5.2.3","","","","","","","1","* value-added utilization of this knowledge"
"1.5.3","5c","0265","CE","Tue 5 Sep 2006 01:12:45 GMT+00:00","3","4","",""
"1.5.3","","","","","","","1","So instead of an archive of publications, a &quot;living&quot;"
"1.5.3","","","","","","","2","knowledge repository should be a dynamic work environment, and a"
"1.5.3","","","","","","","3","vehicle for collaboration across time, space, and organizational"
"1.5.3","","","","","","","4","boundaries."
"1.5.4","5d","0282","CE","Tue 5 Sep 2006 05:19:05 GMT+00:00","3","5","",""
"1.5.4","","","","","","","1","HyperScope was conceived as a tool to support working in the"
"1.5.4","","","","","","","2","thick of living repositories. The version of HyperScope you are"
"1.5.4","","","","","","","3","using now is an early prototype for enhanced browsing. Future"
"1.5.4","","","","","","","4","versions are envisioned to add enhanced editing, publishing, and"
"1.5.4","","","","","","","5","more."
"1.5.5","5e","0335","CE","Thu 7 Sep 2006 07:31:53 GMT+00:00","3","2","",""
"1.5.5","","","","","","","1","Again for practice, please jump to the next heading using its"
"1.5.5","","","","","","","2","Zoom button for an open view."
"1.6","6","0203","CE","Fri 1 Sep 2006 07:23:29 GMT+00:00","2","1","",""
"1.6","","","","","","","1","BASIC JUMPING AND VIEWING"
"1.6.1","6a","0152","CE","Tue 5 Sep 2006 01:18:07 GMT+00:00","3","1","",""
"1.6.1","","","","","","","1","Now you will learn to:"
"1.6.1.1","6a1","0224","CE","Tue 5 Sep 2006 05:19:17 GMT+00:00","4","2","",""
"1.6.1.1","","","","","","","1","* jump by number<BR/>* change your view<BR/>* create HyperScope"
"1.6.1.1","","","","","","","2","links that you can edit, annotate, email, etc."
"1.6.2","6b","0237","CE","Fri 1 Sep 2006 07:08:49 GMT+00:00","3","3","",""
"1.6.2","","","","","","","1","These select features add enhanced power and utility to"
"1.6.2","","","","","","","2","navigating, integrating, and utilizing a dynamic knowledge"
"1.6.2","","","","","","","3","environment."
"1.6.3","6c","0332","CE","Tue 5 Sep 2006 05:20:58 GMT+00:00","3","2","",""
"1.6.3","","","","","","","1","To continue, jump to CHANGING VIEWSPECS using its Zoom button"
"1.6.3","","","","","","","2","for a full open view."
"1.7","7","060","THOM","Thu 27 Sep 1979 07:41:37 GMT+00:00","2","1","",""
"1.7","","","","","","","1","CHANGING VIEWSPECS"
"1.7.1","7a","0229","CE","Wed 24 Apr 1996 05:08:09 GMT+00:00","3","3","",""
"1.7.1","","","","","","","1","The Zoom Buttons changed your view with preset view settings,"
"1.7.1","","","","","","","2","which we call &quot;viewspecs&quot;.  The Viewspecs button above"
"1.7.1","","","","","","","3","allows you to select your own settings."
"1.7.2","7b","0230","CE","Wed 18 Oct 1995 06:24:09 GMT+00:00","3","1","",""
"1.7.2","","","","","","","1","=> Viewspec Instructions"
"1.7.2.1","7b1","0231","CE","Fri 8 Sep 2006 01:40:55 GMT+00:00","4","3","",""
"1.7.2.1","","","","","","","1","1.  Click on the Viewspecs button.<BR/>2.  Click to deselect"
"1.7.2.1","","","","","","","2","&quot;Blank lines&quot; and &quot;Numbering&quot;<BR/>3.  Click"
"1.7.2.1","","","","","","","3","Apply and Cancel"
"1.7.3","7c","0232","CE","Wed 24 Apr 1996 05:08:38 GMT+00:00","3","2","",""
"1.7.3","","","","","","","1","Notice how your view has changed. Blank lines and numbering are"
"1.7.3","","","","","","","2","gone."
"1.7.4","7d","0259","CE","Tue 23 Apr 1996 07:51:30 GMT+00:00","3","1","",""
"1.7.4","","","","","","","1","=> More Viewspec Instructions"
"1.7.4.1","7d1","0260","CE","Fri 8 Sep 2006 01:41:01 GMT+00:00","4","6","",""
"1.7.4.1","","","","","","","1","1.  Click on the Viewspecs button again.<BR/>2.  This time"
"1.7.4.1","","","","","","","2","notice the one-letter codes next to each checkbox<BR/>"
"1.7.4.1","","","","","","","3","&quot;y&quot; and &quot;z&quot; for Blank Lines ON and OFF<BR/>"
"1.7.4.1","","","","","","","4","&quot;m&quot; and &quot;n&quot; for Numbering ON and OFF<BR/>3."
"1.7.4.1","","","","","","","5","Click to select &quot;Blank lines&quot; and"
"1.7.4.1","","","","","","","6","&quot;Numbering&quot;<BR/>4.  Click Apply and Cancel"
"1.7.5","7e","0258","CE","Wed 24 Apr 1996 00:21:35 GMT+00:00","3","2","",""
"1.7.5","","","","","","","1","You can use those one-letter viewspec codes as shortcuts."
"1.7.5","","","","","","","2","Here's how:"
"1.7.6","7f","0256","CE","Wed 24 Apr 1996 00:18:34 GMT+00:00","3","1","",""
"1.7.6","","","","","","","1","=> Viewspec Shortcut Instructions"
"1.7.6.1","7f1","0272","CE","Fri 8 Sep 2006 01:41:04 GMT+00:00","4","3","",""
"1.7.6.1","","","","","","","1","1.  Click on the Viewspecs button.<BR/>2.  Type the letters nz"
"1.7.6.1","","","","","","","2","to turn Numbering and Blank Lines OFF<BR/>3.  Click Apply and"
"1.7.6.1","","","","","","","3","Cancel"
"1.7.7","7g","0273","CE","Fri 1 Sep 2006 07:10:55 GMT+00:00","3","1","",""
"1.7.7","","","","","","","1","=> Now try clicking or typing in the other Viewspecs choices"
"1.7.8","7h","0234","CE","Fri 1 Sep 2006 07:11:12 GMT+00:00","3","2","",""
"1.7.8","","","","","","","1","=> Before you continue, please turn Numbering and Blank Lines ON"
"1.7.8","","","","","","","2","with All lines and levels showing."
"1.8","8","06","THOM","Thu 27 Sep 1979 05:37:49 GMT+00:00","2","1","",""
"1.8","","","","","","","1","JUMPING"
"1.8.1","8a","0233","CE","Thu 7 Sep 2006 07:33:09 GMT+00:00","3","5","",""
"1.8.1","","","","","","","1","You have already learned to &quot;jump&quot; to a particular"
"1.8.1","","","","","","","2","heading or paragraph using the Zoom buttons. Now you can jump"
"1.8.1","","","","","","","3","directly to any heading or paragraph using its number. For"
"1.8.1","","","","","","","4","example, in the following exercise you will jump to the first"
"1.8.1","","","","","","","5","section in this file (Item 1), then back here (Item 8)."
"1.8.2","8b","0274","CE","Thu 7 Sep 2006 07:32:20 GMT+00:00","3","2","",""
"1.8.2","","","","","","","1","=> Jump by Number Instructions  (review all the steps before you"
"1.8.2","","","","","","","2","begin)"
"1.8.2.1","8b1","0275","CE","Fri 8 Sep 2006 01:41:12 GMT+00:00","4","4","",""
"1.8.2.1","","","","","","","1","1.  Make a note to jump back here when finished (Item 8).<BR/>2."
"1.8.2.1","","","","","","","2","Click on the Jump button above <BR/>3.  Type the number"
"1.8.2.1","","","","","","","3","1.<BR/>4.  Click OK.<BR/>5.  Repeat the jump, this time entering"
"1.8.2.1","","","","","","","4","8 instead of 1."
"1.8.3","8c","0268","CE","Thu 7 Sep 2006 07:34:00 GMT+00:00","3","3","",""
"1.8.3","","","","","","","1","Note that you can jump to any item in this file by its number."
"1.8.3","","","","","","","2","Go ahead and try jumping around some more by number, and return"
"1.8.3","","","","","","","3","here (Item 8c)"
"1.8.4","8d","0277","CE","Thu 7 Sep 2006 07:34:09 GMT+00:00","3","3","",""
"1.8.4","","","","","","","1","You can also click on the item you want to jump to instead of"
"1.8.4","","","","","","","2","typing in its number. With the Jump and Click feature, clicking"
"1.8.4","","","","","","","3","on the item will fill in its number for you."
"1.8.5","8e","0235","CE","Thu 7 Sep 2006 07:32:22 GMT+00:00","3","2","",""
"1.8.5","","","","","","","1","=> Jump and Click Instructions  (review all the steps before you"
"1.8.5","","","","","","","2","begin)"
"1.8.5.1","8e1","0236","CE","Fri 8 Sep 2006 01:41:21 GMT+00:00","4","6","",""
"1.8.5.1","","","","","","","1","1.  Make a note to jump back here when finished (Item"
"1.8.5.1","","","","","","","2","8e).<BR/>2.  Click on the Jump button <BR/>3.  Click on the item"
"1.8.5.1","","","","","","","3","you want to jump to (notice that HyperScope then supplies the"
"1.8.5.1","","","","","","","4","number automatically).<BR/>4.  Click OK.<BR/>5.  Repeat again,"
"1.8.5.1","","","","","","","5","and again to get the hang of it.<BR/>6.  Jump back here when"
"1.8.5.1","","","","","","","6","finished (Item 8e).<BR/>7. Click Cancel to close the Jump box."
"1.9","9","0279","CE","Fri 1 Sep 2006 07:23:34 GMT+00:00","2","1","",""
"1.9","","","","","","","1","MORE VIEWSPECS"
"1.9.1","9a","0283","CE","Tue 5 Sep 2006 01:23:33 GMT+00:00","3","3","",""
"1.9.1","","","","","","","1","Now let's get into some more interesting viewspecs. For example,"
"1.9.1","","","","","","","2","when you have numbering turned on, you can controlou can control"
"1.9.1","","","","","","","3","whether you want numbers shown on the right or the left."
"1.9.2","9b","0284","CE","Tue 5 Sep 2006 01:22:50 GMT+00:00","3","1","",""
"1.9.2","","","","","","","1","=> Number Placement"
"1.9.2.1","9b1","0285","CE","Fri 8 Sep 2006 01:41:25 GMT+00:00","4","5","",""
"1.9.2.1","","","","","","","1","1.  Click on the Viewspecs button above.<BR/>2.  Click on the"
"1.9.2.1","","","","","","","2","More button in the Viewspecs box. <BR/>3.  Click on the"
"1.9.2.1","","","","","","","3","&quot;Left&quot; radio dial.<BR/>4.  Click Apply and"
"1.9.2.1","","","","","","","4","Cancel.<BR/>5.  Repeat, this time placing the numbers on the"
"1.9.2.1","","","","","","","5","Right."
"1.9.3","9c","0286","CE","Tue 5 Sep 2006 01:27:03 GMT+00:00","3","1","",""
"1.9.3","","","","","","","1","=> Outline levels and lines"
"1.9.3.1","9c1","0287","CE","Fri 8 Sep 2006 01:41:31 GMT+00:00","4","5","",""
"1.9.3.1","","","","","","","1","1.  Click on the Viewspecs button above.<BR/>2.  Select viewspec"
"1.9.3.1","","","","","","","2","x (1st line and level). <BR/>3.  Now click b and a to add and"
"1.9.3.1","","","","","","","3","subtract levels in the outline.<BR/>4.  Click Apply and"
"1.9.3.1","","","","","","","4","Cancel.<BR/>5.  Repeat, this time selecting r and q to add and"
"1.9.3.1","","","","","","","5","subtract the number of lines showing."
"1.9.4","9d","0288","CE","Tue 5 Sep 2006 01:26:53 GMT+00:00","3","2","",""
"1.9.4","","","","","","","1","Set viewspec w for all lines and levels showing before"
"1.9.4","","","","","","","2","continuing."
"1.10","10","0209","CE","Fri 1 Sep 2006 07:23:38 GMT+00:00","2","1","",""
"1.10","","","","","","","1","FILTERED VIEWS"
"1.10.1","10a","0247","CE","Wed 24 Apr 1996 05:14:03 GMT+00:00","3","5","",""
"1.10.1","","","","","","","1","You can get a filtered view of the file using the Filter button."
"1.10.1","","","","","","","2","When you enter the text to be searched, and turn the filter ON,"
"1.10.1","","","","","","","3","your view will contain only those items which contain that text."
"1.10.1","","","","","","","4","When you turn the filter OFF, you will get your previous view"
"1.10.1","","","","","","","5","back."
"1.10.2","10b","0269","CE","Tue 5 Sep 2006 01:28:44 GMT+00:00","3","1","",""
"1.10.2","","","","","","","1","=> Filtering Instructions (read all steps before you begin)"
"1.10.2.1","10b1","0270","CE","Fri 8 Sep 2006 01:41:39 GMT+00:00","4","7","",""
"1.10.2.1","","","","","","","1","1.  Make a note to jump back here when finished (Item 10b with"
"1.10.2.1","","","","","","","2","viewspec j).<BR/>2.  Click on the Viewspecs button.<BR/>3."
"1.10.2.1","","","","","","","3","Select Apply filter.<BR/>4.  In the typein box enter the word"
"1.10.2.1","","","","","","","4","Instructions.<BR/>5.  Select Numbering to be sure numbers are on"
"1.10.2.1","","","","","","","5","for this.<BR/>6.  Click Apply and Cancel.  <BR/>7.  When"
"1.10.2.1","","","","","","","6","finished, click on the Viewspecs button and deselect Apply"
"1.10.2.1","","","","","","","7","filter"
"1.10.3","10c","0289","CE","Tue 5 Sep 2006 01:31:08 GMT+00:00","3","5","",""
"1.10.3","","","","","","","1","When you enter the filter text, HyperScope will find all items"
"1.10.3","","","","","","","2","with an exact word match for that text. For the computer buffs"
"1.10.3","","","","","","","3","out there, you also have the option of entering a &quot;regular"
"1.10.3","","","","","","","4","expression&quot; instead of a search string, encased in slash"
"1.10.3","","","","","","","5","marks -- for example: /foo/"
"1.10.4","10d","0271","CE","Tue 5 Sep 2006 01:29:59 GMT+00:00","3","3","",""
"1.10.4","","","","","","","1","Note that once a certain filter is set, you can turn it On or"
"1.10.4","","","","","","","2","Off by entering viewspec i or j respectively using the Viewspecs"
"1.10.4","","","","","","","3","button."
"1.11","11","0114","CE","Sun 19 Mar 1995 00:48:28 GMT+00:00","2","1","",""
"1.11","","","","","","","1","JUMPING WITH VIEWSPECS"
"1.11.1","11a","0241","CE","Tue 5 Sep 2006 01:32:12 GMT+00:00","3","6","",""
"1.11.1","","","","","","","1","Now you will learn how to combine Jump and Viewspecs for"
"1.11.1","","","","","","","2","&quot;on-the-fly&quot; view control using the viewspec codes you"
"1.11.1","","","","","","","3","learned above. Using the Jump button, after you indicate which"
"1.11.1","","","","","","","4","item you wish to jump to you can add a colon &quot;:&quot;"
"1.11.1","","","","","","","5","followed by as many viewspec codes as you want. The viewspecs"
"1.11.1","","","","","","","6","will take effect when you OK the Jump."
"1.11.2","11b","0242","CE","Wed 18 Oct 1995 06:58:26 GMT+00:00","3","1","",""
"1.11.2","","","","","","","1","=> Instructions  (review all the steps before you begin)"
"1.11.2.1","11b1","0243","CE","Fri 8 Sep 2006 01:41:46 GMT+00:00","4","7","",""
"1.11.2.1","","","","","","","1","1.  Make a note to jump back here when finished (Item"
"1.11.2.1","","","","","","","2","11b).<BR/>2.  Click on the Jump button.<BR/>3.  Type the number"
"1.11.2.1","","","","","","","3","3 into the Jump typein field.<BR/>4.  Add a colon&quot;:&quot;"
"1.11.2.1","","","","","","","4","followed by the viewspecs xbz.<BR/>5.  You should now see"
"1.11.2.1","","","","","","","5","&quot;Click on the item or enter its address: 3:xbz<BR/>6."
"1.11.2.1","","","","","","","6","Click OK.<BR/>7.  Repeat the jump to return here, this time"
"1.11.2.1","","","","","","","7","entering 11b instead of 3, and viewspecs yw instead of zxb."
"1.11.3","11c","0255","CE","Wed 24 Apr 1996 00:21:45 GMT+00:00","3","1","",""
"1.11.3","","","","","","","1","You are now on your way to becoming a high-performance user."
"1.12","12","0210","CE","Fri 1 Sep 2006 07:24:58 GMT+00:00","2","1","",""
"1.12","","","","","","","1","CREATING LINKS &amp; CUSTOM &quot;BOOKMARKS&quot;"
"1.12.1","12a","0246","CE","Fri 8 Sep 2006 01:37:19 GMT+00:00","3","10","",""
"1.12.1","","","","","","","1","HyperScope supports two different ways you can quickly create"
"1.12.1","","","","","","","2","links to specific items in the document you are browsing. One is"
"1.12.1","","","","","","","3","using the Bookmarks icon above, and the other is using the"
"1.12.1","","","","","","","4","purple numbering. The purple numbering contains a complete link"
"1.12.1","","","","","","","5","to each numbered item in the file. The Bookmarks icon keeps"
"1.12.1","","","","","","","6","track of which item you last jumped to and which viewspecs and"
"1.12.1","","","","","","","7","filter are currently in effect. You can access this link info"
"1.12.1","","","","","","","8","and paste it into your own custom bookmarks file. Or you can"
"1.12.1","","","","","","","9","paste it into a document you are authoring, a forum posting, or"
"1.12.1","","","","","","","10","an email to a friend or coworker. For examples see:"
"1.12.1.1","12a1","0356","CE","Fri 8 Sep 2006 01:37:36 GMT+00:00","4","3","",""
"1.12.1.1","","","","","","","1","http://codinginparadise.org/hyperscope/src/demos/sample_word_fil"
"1.12.1.1","","","","","","","2","e.doc (MS Word Version) http://codinginparadise.org/hyperscope/s"
"1.12.1.1","","","","","","","3","rc/demos/sample_word_file.pdf (PDF Version)"
"1.12.2","12b","0329","CE","Tue 5 Sep 2006 04:48:34 GMT+00:00","3","13","",""
"1.12.2","","","","","","","1","To create a link to an item in a HyperScope browser window,"
"1.12.2","","","","","","","2","right click on either the Hyperscope bookmark icon, or the"
"1.12.2","","","","","","","3","purple number for the item you want to link to, select Copy Link"
"1.12.2","","","","","","","4","Location (or equivalent), and then switch to your editor, email"
"1.12.2","","","","","","","5","draft, or forum posting and paste it in. To make a hotlink,"
"1.12.2","","","","","","","6","first copy and paste the text you are referencing, and then"
"1.12.2","","","","","","","7","paste in the link using the Paste Link command or icon. The"
"1.12.2","","","","","","","8","difference between copying from the HyperScope bookmark icon and"
"1.12.2","","","","","","","9","the purple number is, the icon provides the full link to the"
"1.12.2","","","","","","","10","item you last jumped to including whatever viewspecs and filter"
"1.12.2","","","","","","","11","are in effect, whereas the purple number provides just the link"
"1.12.2","","","","","","","12","to the item whose purple number you right click on with no"
"1.12.2","","","","","","","13","viewspecs."
"1.12.3","12c","0290","CE","Fri 8 Sep 2006 01:37:47 GMT+00:00","3","1","",""
"1.12.3","","","","","","","1","=> Instructions for using Bookmark Icon"
"1.12.3.1","12c1","0291","CE","Tue 5 Sep 2006 04:49:38 GMT+00:00","4","9","",""
"1.12.3.1","","","","","","","1","1)  Right click on the Bookmark icon next to the Viewspecs"
"1.12.3.1","","","","","","","2","button.<BR/>2)  Select Copy Link Location (or"
"1.12.3.1","","","","","","","3","equivalent).<BR/>3)  Open your word processor, web editor, or"
"1.12.3.1","","","","","","","4","email with a file or draft email where you can paste some"
"1.12.3.1","","","","","","","5","links.<BR/>4)  Paste or insert the HyperScope bookmark you"
"1.12.3.1","","","","","","","6","copied in step 2.<BR/>5)  Jump or zoom around with different"
"1.12.3.1","","","","","","","7","viewspecs and copy more bookmarks into your new bookmarks file"
"1.12.3.1","","","","","","","8","or email.<BR/>6)  In your new bookmarks file, click on the links"
"1.12.3.1","","","","","","","9","you created and see what you get"
"1.12.4","12d","0331","CE","Tue 5 Sep 2006 04:50:07 GMT+00:00","3","3","",""
"1.12.4","","","","","","","1","Now try the same procedure, this time copying from some purple"
"1.12.4","","","","","","","2","numbers (be sure the numbering viewspecs are turned on before"
"1.12.4","","","","","","","3","you start)."
"1.12.5","12e","0330","CE","Tue 5 Sep 2006 04:49:10 GMT+00:00","3","3","",""
"1.12.5","","","","","","","1","Note there is nothing magic about the link you've just copied -"
"1.12.5","","","","","","","2","once you paste it you can change the item number, add or change"
"1.12.5","","","","","","","3","the viewspec codes or content filter."
"1.13","13","0126","CE","Sun 19 Mar 1995 05:34:48 GMT+00:00","2","1","",""
"1.13","","","","","","","1","PRECISION BROWSING"
"1.13.1","13a","0136","CE","Fri 8 Sep 2006 01:42:16 GMT+00:00","3","18","",""
"1.13.1","","","","","","","1","You have just experienced the tip of the iceberg in the powerful"
"1.13.1","","","","","","","2","combination of jumping, viewspecs, numbering, and outline"
"1.13.1","","","","","","","3","structuring -- which were first conceived in the AUGMENT System"
"1.13.1","","","","","","","4","and its precursor NLS, in full operational use in Doug"
"1.13.1","","","","","","","5","Engelbart's pioneering computer lab at SRI by 1968! In fact, the"
"1.13.1","","","","","","","6","NLS/Augment System is an even more powerful system which"
"1.13.1","","","","","","","7","includes cross-window jumping and editing, integrated email, a"
"1.13.1","","","","","","","8","rich command language, user programmable macros, and more."
"1.13.1","","","","","","","9","Unfortunately it is written in an archaic software language and"
"1.13.1","","","","","","","10","runs on a now obsolete operating system. HyperScope was designed"
"1.13.1","","","","","","","11","to migrate the powerful functionality and lessons learned into"
"1.13.1","","","","","","","12","mainstream browsers, and to be extended with these additional"
"1.13.1","","","","","","","13","features in mind.  Together these features form a foundation for"
